DatetimeIndex,dayofweek,month,dayofyear,dayofmonth,weekofyear
2022-03-14,0,3,73,14,11
2022-03-15,1,3,74,15,11
2022-03-16,2,3,75,16,11
2022-03-17,3,3,76,17,11
2022-03-18,4,3,77,18,11
2022-03-21,0,3,80,21,12
2022-03-22,1,3,81,22,12
2022-03-23,2,3,82,23,12
2022-03-24,3,3,83,24,12
2022-03-25,4,3,84,25,12
2022-03-28,0,3,87,28,13
2022-03-29,1,3,88,29,13
2022-03-30,2,3,89,30,13
2022-03-31,3,3,90,31,13
2022-04-01,4,4,91,1,13
2022-04-04,0,4,94,4,14
2022-04-05,1,4,95,5,14
2022-04-06,2,4,96,6,14
2022-04-07,3,4,97,7,14
2022-04-08,4,4,98,8,14
2022-04-11,0,4,101,11,15
2022-04-12,1,4,102,12,15
2022-04-13,2,4,103,13,15
2022-04-14,3,4,104,14,15
2022-04-18,0,4,108,18,16
2022-04-19,1,4,109,19,16
2022-04-20,2,4,110,20,16
2022-04-21,3,4,111,21,16
2022-04-22,4,4,112,22,16
2022-04-25,0,4,115,25,17
2022-04-26,1,4,116,26,17
2022-04-27,2,4,117,27,17
2022-04-28,3,4,118,28,17
2022-04-29,4,4,119,29,17
2022-05-02,0,5,122,2,18
2022-05-03,1,5,123,3,18
2022-05-04,2,5,124,4,18
2022-05-05,3,5,125,5,18
2022-05-06,4,5,126,6,18
2022-05-09,0,5,129,9,19
2022-05-10,1,5,130,10,19
2022-05-11,2,5,131,11,19
2022-05-12,3,5,132,12,19
2022-05-13,4,5,133,13,19
2022-05-16,0,5,136,16,20
2022-05-17,1,5,137,17,20
2022-05-18,2,5,138,18,20
2022-05-19,3,5,139,19,20
2022-05-20,4,5,140,20,20
2022-05-23,0,5,143,23,21
2022-05-24,1,5,144,24,21
2022-05-25,2,5,145,25,21
2022-05-26,3,5,146,26,21
2022-05-27,4,5,147,27,21
2022-05-31,1,5,151,31,22
2022-06-01,2,6,152,1,22
2022-06-02,3,6,153,2,22
2022-06-03,4,6,154,3,22
2022-06-06,0,6,157,6,23
2022-06-07,1,6,158,7,23
2022-06-08,2,6,159,8,23
2022-06-09,3,6,160,9,23
2022-06-10,4,6,161,10,23
2022-06-13,0,6,164,13,24
2022-06-14,1,6,165,14,24
2022-06-15,2,6,166,15,24
2022-06-16,3,6,167,16,24
2022-06-17,4,6,168,17,24
2022-06-21,1,6,172,21,25
2022-06-22,2,6,173,22,25
2022-06-23,3,6,174,23,25
2022-06-24,4,6,175,24,25
2022-06-27,0,6,178,27,26
2022-06-28,1,6,179,28,26
2022-06-29,2,6,180,29,26
2022-06-30,3,6,181,30,26
2022-07-01,4,7,182,1,26
2022-07-05,1,7,186,5,27
2022-07-06,2,7,187,6,27
2022-07-07,3,7,188,7,27
2022-07-08,4,7,189,8,27
2022-07-11,0,7,192,11,28
2022-07-12,1,7,193,12,28
2022-07-13,2,7,194,13,28
2022-07-14,3,7,195,14,28
2022-07-15,4,7,196,15,28
2022-07-18,0,7,199,18,29
2022-07-19,1,7,200,19,29
2022-07-20,2,7,201,20,29
2022-07-21,3,7,202,21,29
2022-07-22,4,7,203,22,29
2022-07-25,0,7,206,25,30
2022-07-26,1,7,207,26,30
2022-07-27,2,7,208,27,30
2022-07-28,3,7,209,28,30
2022-07-29,4,7,210,29,30
2022-08-01,0,8,213,1,31
2022-08-02,1,8,214,2,31
2022-08-03,2,8,215,3,31
2022-08-04,3,8,216,4,31
2022-08-05,4,8,217,5,31
2022-08-08,0,8,220,8,32
2022-08-09,1,8,221,9,32
2022-08-10,2,8,222,10,32
2022-08-11,3,8,223,11,32
2022-08-12,4,8,224,12,32
