DatetimeIndex,Adj_Close,SMA_10,EMA_20,RSI,MACD,dayofweek,month,year,dayofyear,dayofmonth,weekofyear,Prediction,isFuture,Signal_SMA,Signal_RSI,Signal_MACD,Predicted_SMA,Predicted_RSI,Predicted_MACD,Portfolio_Value_Predicted_SMA,Portfolio_Value_Predicted_RSI,Portfolio_Value_Predicted_MACD,Activo
2022-03-14,148.38128662109375,157.88984222412108,160.05693921709693,29.479826494004683,-3.916177454986723,0,3,2022,73,14,11,155.3181610107422,False,0,1,0,0,1,0,5000.0,5000.0,5000.0,AAPL
2022-03-15,152.78485107421875,157.0908966064453,159.36435939396566,37.96309871335897,-4.001418880383682,1,3,2022,74,15,11,155.3181610107422,False,0,-1,0,0,-1,0,5000.0,5148.38678627885,5000.0,AAPL
2022-03-16,157.21798706054688,156.40425567626954,159.15994298125912,45.12044444705936,-3.668962780228213,2,3,2022,75,16,11,155.3181610107422,False,0,-1,0,0,-1,0,5000.0,5297.770043671966,5000.0,AAPL
2022-03-17,158.23265075683594,155.85159149169922,159.07162943607594,46.637949550551376,-3.2857381017103933,3,3,2022,76,17,11,155.3181610107422,False,0,-1,0,0,-1,0,5000.0,5331.9611374208735,5000.0,AAPL
2022-03-18,161.54273986816406,155.93139038085937,159.30697328675095,51.36282300536281,-2.683993844968427,4,3,2022,77,18,11,155.3181610107422,False,0,-1,0,0,-1,0,5000.0,5443.50111617105,5000.0,AAPL
2022-03-21,162.92193603515625,156.5303527832031,159.65125545326578,53.22138096105151,-2.0719336208667585,0,3,2022,80,21,12,162.6044921875,False,0,-1,0,0,-1,0,5000.0,5489.975850229466,5000.0,AAPL
2022-03-22,166.310791015625,157.65143585205078,160.28549693539523,57.51707899420282,-1.2984514682611916,1,3,2022,81,22,12,164.95310974121094,False,0,-1,0,0,-1,0,5000.0,5598.56583023423,5000.0,AAPL
2022-03-23,167.6801300048828,158.36664581298828,160.98974770391786,59.14947912041717,-0.5684147459284645,2,3,2022,82,23,12,164.95310974121094,False,0,-1,0,0,-1,0,5000.0,5598.56583023423,5000.0,AAPL
2022-03-24,171.48277282714844,159.89853515625,161.98908342993985,63.35992289762342,0.313373734552016,3,3,2022,83,24,12,168.04345703125,False,0,-1,1,0,-1,1,5000.0,5598.56583023423,5000.0,AAPL
2022-03-25,172.12310791015625,161.86782531738282,162.95422861853186,64.03220345665372,1.0517433058288077,4,3,2022,84,25,12,168.04345703125,False,0,-1,1,0,-1,1,5000.0,5598.56583023423,5018.670536767366,AAPL
2022-03-28,172.99000549316406,164.32869720458984,163.91001689230637,64.96930805322017,1.6874065286265818,0,3,2022,87,28,13,168.04345703125,False,1,-1,1,1,-1,1,5000.0,5598.56583023423,5043.947057805477,AAPL
2022-03-29,176.30010986328125,166.6802230834961,165.09002574668494,68.35916062117487,2.430257475971757,1,3,2022,88,29,13,168.04345703125,False,1,-1,1,1,-1,1,5095.6732835715175,5598.56583023423,5140.461253241706,AAPL
2022-03-30,175.12774658203125,168.47119903564453,166.04599915957508,65.92587440161093,2.89104610486362,2,3,2022,89,30,13,168.04345703125,False,1,-1,1,1,-1,1,5061.787994132172,5598.56583023423,5106.278132047611,AAPL
2022-03-31,172.0147247314453,169.84940643310546,166.6144492140389,59.83529567453355,2.970784215146807,3,3,2022,90,31,13,168.04345703125,False,1,-1,1,1,-1,1,4971.811066224942,5598.56583023423,5015.510359890001,AAPL
2022-04-01,171.71920776367188,170.86705322265624,167.10061669495633,59.27545749437503,2.975827999675687,4,4,2022,91,1,13,170.27403259277344,False,1,-1,1,1,-1,1,4963.269619945113,5598.56583023423,5006.893839323492,AAPL
2022-04-04,175.787841796875,172.1536437988281,167.92797146656764,64.23673100772646,3.270430511574318,0,4,2022,94,4,14,170.27403259277344,False,1,-1,1,1,-1,1,5080.866992741425,5598.56583023423,5125.524823827814,AAPL
2022-04-05,172.4580535888672,172.76837005615235,168.35940785916762,58.00828571736789,3.198350451464933,1,4,2022,95,5,14,170.27403259277344,False,1,-1,1,1,-1,1,4984.624779252987,5598.56583023423,5028.436697915476,AAPL
2022-04-06,169.2760467529297,172.92796173095704,168.44670680143068,52.74511291200038,2.8515937285527286,2,4,2022,96,6,14,170.27403259277344,False,1,-1,1,1,-1,1,4892.653950450879,5598.56583023423,4935.657499647411,AAPL
2022-04-07,169.58145141601562,172.73782958984376,168.55477771710542,53.18415855399046,2.571784203912671,3,4,2022,97,7,14,170.27403259277344,False,1,-1,1,1,-1,1,4901.481184781998,5598.56583023423,4944.562320174012,AAPL
2022-04-08,167.5619354248047,172.2817123413086,168.46022130831489,49.883674109997166,2.1621511445235626,4,4,2022,98,8,14,170.27403259277344,False,1,-1,1,1,-1,1,4843.11029839889,5598.56583023423,4885.678388047298,AAPL
